"DATA_EXPLO","OCUPACIO","CODI_DISTRICTE","NOM_DISTRICTE","CODI_BARRI","NOM_BARRI","EMPLACAMENT","SUPERFICIE_OCUPADA","TAULES","CADIRES","ORDENACIO","VIGENCIA","X_ETRS89","Y_ETRS89","LATITUD","LONGITUD"
1/7/2020 0:00:00,"Terrasses en Via Pública",,,,,"C. SANT ANTONI MARIA CLARET, 480-494","3",1.00,4.00,"Ordenació General","Anual","32104017","85792653","41.4208229680101","2.18750406288615"
1/7/2020 0:00:00,"Terrasses en Via Pública",,,,,"C. GALILEU, 23-63","13.5",6.00,24.00,"Ordenació General","Anual","27706190","80967342","41.376979726732","2.13545800229583"
1/7/2020 0:00:00,"Terrasses en Via Pública",,,,,"C. ESCULTORS CLAPEROS, 1-39","10.56",4.00,16.00,"Ordenació General","Anual","32238685","84126770","41.4058302503793","2.1893020300554"
1/7/2020 0:00:00,"Terrasses en Via Pública",,,,,"C. GARROFERS, 32-38","31.5",14.00,56.00,"Distribució Prèvia","Anual","31453403","87677595","41.4377447195732","2.17950534039371"
1/7/2020 0:00:00,"Terrasses en Via Pública",,,,,"PTGE. MERCAT, 6","6.75",3.00,12.00,"Distribució Prèvia","Anual","30533157","83039403","41.3958911331749","2.16902386009251"
1/7/2020 0:00:00,"Terrasses en Via Pública",,,,,"C. PALLARS, 373-383","9",4.00,16.00,"Ordenació General","Anual","33799635","84472008","41.4090697792328","2.20793777477372"
1/7/2020 0:00:00,"Terrasses en Via Pública",,,,,"C. REC, 79-89","6",5.00,10.00,"Distribució Prèvia","Anual","31786299","81739970","41.3842947896748","2.1841590588932"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PLTA. PI, 1","9",4.00,16.00,"Distribució Prèvia","Anual","30971017","81466298","41.381760366096","2.17444036816858"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","C. BOT, 23-25","27",12.00,48.00,"Ordenació General","Anual","30754147","81776236","41.3845332471493","2.17181152752189"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. GEORGE ORWELL, 1","18",8.00,32.00,"Distribució Prèvia","Anual","31239524","81329002","41.3805467729206","2.17766686759734"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PLTA. MANUEL RIBE, 1","4.5",2.00,8.00,"Ordenació General","Anual","31062587","81566992","41.3826751384428","2.17552394512587"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","C. VEGUER, 1-3","6.75",3.00,12.00,"Ordenació General","Anual","31252887","81679404","41.3837038840582","2.17778691145014"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","C. TAPINERIA, 12","27",12.00,48.00,"Distribució Prèvia","Anual","31162106","81798455","41.3847683786461","2.17668775552177"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. SANT MIQUEL, 1","18",8.00,32.00,"Distribució Prèvia","Anual","31180283","81513135","41.3822001404549","2.17693754022637"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. PI, 5","9",4.00,16.00,"Distribució Prèvia","Anual","30913501","81556959","41.3825719858592","2.17374223148104"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","C. RAMBLA, 56","18",8.00,32.00,"Ordenació Singular","Anual","30967912","81286783","41.3801432611656","2.17442368674044"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PTGE. PAU, 11","18",8.00,32.00,"Distribució Prèvia","Anual","31247128","81039967","41.3779441669622","2.17779058723766"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","C. ARAI, 3","9",4.00,16.00,"Distribució Prèvia","Anual","31189179","81324794","41.3805045686463","2.17706530963724"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. SANT MIQUEL, 1","18",8.00,32.00,"Ordenació General","Anual","31180283","81513135","41.3822001404549","2.17693754022637"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. DUC DE MEDINACELI, 6","16",4.00,16.00,"Ordenació General","Anual","31342356","81053329","41.3780726456096","2.17892778440759"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PLTA. PI, 5","9",4.00,16.00,"Ordenació General","Anual","30971442","81479432","41.381878696597","2.17444395434696"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. REIAL, 10","93",36.00,144.00,"Ordenació General","Anual","31066353","81294576","41.3802218902529","2.17559996997795"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. TRAGINERS, 8","9",4.00,16.00,"Ordenació General","Anual","31432176","81503938","41.3821388127228","2.17995084644345"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. SANT JOSEP ORIOL, 1","13.5",6.00,24.00,"Distribució Prèvia","Anual","30932299","81548986","41.3825017894128","2.17396793736664"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. SANT JOSEP ORIOL, 6","9",4.00,16.00,"Ordenació General","Anual","30968836","81516901","41.3822159451459","2.17440852219278"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. PI, 6","9",4.00,16.00,"Ordenació General","Anual","30925663","81544212","41.3824582217142","2.17388912462146"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PLTA. MANUEL RIBE, 1","4.5",2.00,8.00,"Ordenació General","Anual","31062587","81566992","41.3826751384428","2.17552394512587"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. SANT JOSEP ORIOL, 10","9",4.00,16.00,"Distribució Prèvia","Anual","30975808","81491499","41.3819877550581","2.17449479037"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PLTA. MANUEL RIBE, 1","4.5",2.00,8.00,"Ordenació General","Anual","31062587","81566992","41.3826751384428","2.17552394512587"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","C. RAMBLA, 50","27",12.00,48.00,"Ordenació General","Anual","30984075","81261583","41.3799176787249","2.17461983571672"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. REIAL, 2","19.84",8.00,32.00,"Ordenació General","Anual","30997082","81281817","41.3801010359981","2.17477307060254"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PG. COLOM, 9","18",8.00,32.00,"Ordenació General","Anual","31503342","81283689","41.3801611539506","2.18082678077646"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PLTA. MANUEL RIBE, 1","4.5",2.00,8.00,"Ordenació General","Anual","31062587","81566992","41.3826751384428","2.17552394512587"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. SANT JOSEP ORIOL, 4","13.5",6.00,24.00,"Ordenació General","Anual","30961138","81547234","41.3824884849021","2.17431300968536"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","C. COLOM, 2","11.25",5.00,20.00,"Ordenació General","Anual","31005779","81240775","41.3797321285328","2.17488174282078"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. SANT JOSEP ORIOL, 3","9",4.00,16.00,"Distribució Prèvia","Anual","30948127","81562364","41.3826236396952","2.17415569281906"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PG. COLOM, 20","9",4.00,16.00,"Ordenació General","Anual","31396773","81095102","41.3784535245887","2.1795737613009"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PG. COLOM, 7","9",4.00,16.00,"Ordenació General","Anual","31520322","81311431","41.3804124637225","2.18102669522788"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. SANT MIQUEL, 1","18",8.00,32.00,"Distribució Prèvia","Anual","31180283","81513135","41.3822001404549","2.17693754022637"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PLTA. MANUEL RIBE, 1","4.5",2.00,8.00,"Ordenació General","Anual","31062587","81566992","41.3826751384428","2.17552394512587"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PLTA. PI, 1","9",4.00,16.00,"Distribució Prèvia","Anual","30971454","81466239","41.3817598721936","2.17444560071803"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. SANT JOSEP ORIOL, 2","9",4.00,16.00,"Ordenació General","Anual","30934372","81564875","41.3826450748406","2.17399091642159"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PTGE. MADOZ, 6","9",4.00,16.00,"Ordenació General","Anual","30995691","81317896","41.3804258696574","2.17475232872069"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","C. RAMBLA, 66","18",8.00,32.00,"Ordenació Singular","Anual","30936913","81333768","41.3805637809904","2.17404764242117"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","C. FRANCESC PUJOLS, 3","6.75",3.00,12.00,"Ordenació General","Anual","30844867","81755924","41.3843581067381","2.17289875912741"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","C. RAMBLA, 76","32",8.00,32.00,"Ordenació General","Anual","30907352","81379374","41.3809720027555","2.17368894645607"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. REGOMIR, 4","4.5",2.00,8.00,"Ordenació General","Anual","31319717","81447323","41.3816193055439","2.17861242215277"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PTGE. MADOZ, 1","9",4.00,16.00,"Ordenació General","Anual","30993781","81336445","41.3805927712339","2.17472737643702"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","C. ARAI, 5","27",12.00,48.00,"Ordenació General","Anual","31193260","81345346","41.3806900235754","2.17711177753531"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PG. COLOM, 7","13.5",6.00,24.00,"Distribució Prèvia","Anual","31520322","81311431","41.3804124637225","2.18102669522788"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PG. COLOM, 3","13.5",6.00,24.00,"Ordenació General","Anual","31546898","81358517","41.3808388156122","2.18133917738455"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PG. COLOM, 17","9",4.00,16.00,"Distribució Prèvia","Anual","31417832","81134752","41.3788124362143","2.1798210944274"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. TRAGINERS, 8","9",4.00,16.00,"Distribució Prèvia","Anual","31432310","81503779","41.3821373920753","2.17995246687465"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","AV. CATEDRAL, 7","27",12.00,48.00,"Ordenació General","Anual","31081677","81811347","41.3848776068411","2.1757244407885"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","C. CARABASSA, 3","16",4.00,16.00,"Distribució Prèvia","Anual","31271795","81307017","41.3803515175449","2.17805526419472"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","C. RAMBLA, 12","54",24.00,96.00,"Ordenació General","Anual","31131500","81014460","41.3777045448868","2.17641083761581"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. CATALUNYA, 19","54",24.00,96.00,"Ordenació Singular","Anual","30688260","81966919","41.3862449958427","2.17100177589215"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. SANT JOSEP ORIOL, 9","9",4.00,16.00,"Distribució Prèvia","Anual","30981469","81499500","41.3820603033348","2.17456157590538"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. REIAL, 13","61.38",24.00,96.00,"Ordenació General","Anual","31075692","81256160","41.3798766885852","2.17571601617275"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. JOAQUIM XIRAU I PALAU, 1","18",8.00,32.00,"Distribució Prèvia","Anual","31174604","81105431","41.3785275826202","2.17691593106894"
1/7/2020 0:00:00,"Terrasses en Via Pública",1,"Ciutat Vella",2,"el Barri Gòtic","PL. PORTAL DE LA PAU, 4","54",24.00,96.00,"Distribució Prèvia","Anual","31216971","80915390","41.3768195599582","2.17744411548738"
