Outlet,St. type,Street,Number,Postal code,Latitude,Longitude,Municipality,Situation,Date
M.A.SUPERMERCADO,CR,"MORA D'EBRE",50,08023,41.41724,2.14850,BARCELONA,Cierre definitivo por Covid,2020-07-31
AVOCADOS FLEMING,CL,DOCTOR FLEMING,25,08017,41.39464,2.13478,BARCELONA,Abierto con normalidad,2021-04-29
LA CANYA,CL,VENEÇUELA,6,08019,41.40880,2.20564,BARCELONA,Abierto con normalidad,2021-04-29
ALIMENTACIÓN BENTMINSU,CL,NOU DE LA RAMBLA,142,08004,41.37296,2.16792,BARCELONA,Abierto con normalidad,2021-04-30
LA FABRICA,CL,PRINCESA,11,08003,41.38459,2.17952,BARCELONA,Abierto con normalidad,2021-04-29
BAR PLAÇA,CL,TAJO,75,08032,41.42970,2.15960,BARCELONA,Cerrado temporalmente por COVID,2021-04-29
SECRETS PAU CLARIS,CL,PAU CLARIS,167,08037,41.39558,2.16338,BARCELONA,Abierto con normalidad,2021-04-28
BRASAS CAN BARO,AV,CAN BARO,7,08024,41.41543,2.16127,BARCELONA,Cerrado temporalmente por COVID,2021-04-28
NEEDLE-6,CL,DOCTOR TRUETA,165,08005,41.39632,2.20039,BARCELONA,Abierto con normalidad,2021-04-28
SUMA MONTSERRAT,AV,MARE DE DEU DE MONTSERRAT,192,08041,41.42018,2.17313,BARCELONA,Abierto con normalidad,2021-04-29
GRANIER,AV,MERIDIANA,384,08030,41.42943,2.18376,BARCELONA,Abierto con normalidad,2021-04-27
LUNA DE KABUL,CL,CARRETES,18,08001,41.37818,2.16629,BARCELONA,Abierto con normalidad,2021-04-06
ANTTICA,CL,NICARAGUA,115,08029,41.38620,2.13776,BARCELONA,Cierre definitivo por Covid,2021-04-26
PICCOLO,CL,INDUSTRIA,77,08025,41.40543,2.16891,BARCELONA,Abierto con normalidad,2021-03-08
RESTAURANTE CADÍ,AV,MARE DE DEU DE MONTSERRAT,14,08024,41.41331,2.16070,BARCELONA,Abierto con normalidad,2021-04-27
EL LIMONERO,CL,ALEXANDRE GALI,32,08027,41.42540,2.17952,BARCELONA,Abierto con normalidad,2021-04-27
BAR OCIO,CL,ALMANSA,6,08042,41.44155,2.17667,BARCELONA,Abierto con normalidad,2021-04-26
KUK BARCELONETA,CL,PONTEVEDRA,25,08003,41.37822,2.19022,BARCELONA,Abierto con normalidad,2021-04-27
LA LLIBRERIA,CL,DOCTOR IBAÑEZ,24,08014,41.38652,2.13269,BARCELONA,Abierto con normalidad,2021-03-26
TLAXCAL,CR,COMERÇ,27,08003,41.38491,2.18423,BARCELONA,Abierto con normalidad,2021-04-26
SUPER ROGER DE LLURIA 44,CL,ROGER DE LLURIA,44,08009,41.39216,2.17015,BARCELONA,Abierto con normalidad,2021-04-28
BAR ELENA,CL,PABLO IGLESIAS,10,08016,41.44259,2.18087,BARCELONA,Abierto con normalidad,2021-02-25
KUK COMIDAS,CL,ROGER DE FLOR,167,08013,41.39862,2.17289,BARCELONA,Abierto con normalidad,2020-09-03
CAN CIVIC,RDA,GUINARDO,118,08041,41.41670,2.17447,BARCELONA,Abierto con normalidad,2021-04-29
"CA'N FELIZ",PZ,CONGRES EUCARISTIC,10,08027,41.42603,2.18092,BARCELONA,Abierto con normalidad,2021-04-23
LA ESPIGA DULCE,CL,PERELLO,42,08005,41.39880,2.20656,BARCELONA,Abierto con normalidad,2021-04-26
TARTA PRETA,CL,CONCEPCION ARENAL,108,08027,41.42436,2.18414,BARCELONA,Abierto con normalidad,2021-04-23
SANTAGLORIA,VIA,AUGUSTA,349,08017,41.40178,2.12094,BARCELONA,Abierto con normalidad,2021-04-23
CAN PIZZA POBLENOU,RB,POBLENOU,125,08018,41.40436,2.19682,BARCELONA,Abierto con normalidad,2021-04-29
GRAN ALLIED SUPERMERCAT,CL,CASANOVA,49,08011,41.38457,2.15990,BARCELONA,Abierto con normalidad,2021-03-10
BAR 23,CL,ALMANSA,89,08042,41.44581,2.17365,BARCELONA,Abierto con normalidad,2021-04-27
LLOOLY GRACIA,CL,TRAVESSERA DE GRACIA,200,08012,41.40301,2.16048,BARCELONA,Abierto con normalidad,2021-04-28
CASA AMALIA,PTG,MERCAT,4,08009,41.39580,2.16910,BARCELONA,Abierto con normalidad,2021-04-29
RAMEN HOUSE POBLENOU,RB,POBLENOU,65,08005,41.40106,2.20119,BARCELONA,Abierto con normalidad,2021-04-28
BAR BODG. LUIS,CR,CONSELL DE CENT,27,08014,41.37598,2.14457,BARCELONA,Abierto con normalidad,2021-04-26
BESTIA PARDA,CL,MARQUES DE CAMPO SAGRADO,27,08015,41.37652,2.16496,BARCELONA,Cierre definitivo por Covid,2021-04-06
BEIRUT BARCELONA,CL,TRAVESSERA DE LES CORTS,283,08014,41.38642,2.13438,BARCELONA,Abierto con normalidad,2021-04-28
CELLER PANOTXA,CL,SANT JOAN DE MALTA,53,08018,41.40861,2.19273,BARCELONA,Abierto con normalidad,2021-04-20
SUPERMERCADO,CL,ROCAFORT,80,08015,41.37924,2.15339,BARCELONA,Abierto con normalidad,2021-04-28
