,NOMBRE,DIRECCION,BARRIO,COCINA,SITUACION,TERRAZA,SUPERFICIE_OCUPADA,RATING,NUM_OPINIONES,PRECIO,LONGITUD,LATITUD
0,128 Rambla Restaurant- Hotel Rivoli,"C. RAMBLA, 128",el Barri Gòtic,MEDITERRANEO,None,No,None,0.0,0,17,2.17117,41.38431
1,18 d'octubre,"C. JULIAN ROMEA, 18",Sant Gervasi - Galvany,ESPAÑOL,None,No,None,8.1,1161,26,2.15349,41.39759
2,1902 Cafè Modernista,"C. SANT ANTONI MARIA CLARET, 167",el Guinardó,CATALAN,Abierto,No,None,0.0,0,35,2.17575,41.41241
3,216 Grammi Barcelona Vila Olimpica,"C. JOAN MIRO, 24",la Vila Olímpica del Poblenou,ITALIANO,Abierto,Si,5.7,9.2,412,15,2.19454,41.39085
4,2Y Restaurante Macrobiótico y Vegano,"PTGE. BATLLO, 4",l'Antiga Esquerra de l'Eixample,VEGETARIANO,None,No,None,9.6,425,11,2.15138,41.38836
5,3 - Hotel Granados 83,"C. ENRIC GRANADOS, 83",l'Antiga Esquerra de l'Eixample,MEDITERRANEO,None,Si,13.5,0.0,0,15,2.15684,41.39188
6,3 Atelier Gastrobar Eddie Arola,"C. CORSEGA, 231",l'Antiga Esquerra de l'Eixample,AUTOR,None,Si,2.85,0.0,0,17,2.15322,41.39207
7,3 Focs,"C. VALENCIA, 207",l'Antiga Esquerra de l'Eixample,MEDITERRANEO,Abierto,Si,7.22,8.9,1078,21,2.15987,41.39026
8,3Sentits,"C. ARIZALA, 53",la Maternitat i Sant Ramon,MEDITERRANEO,Abierto,Si,6.75,6.4,143,20,2.12383,41.37806
9,50&5 by Eboca Restaurant,"C. MUNTANER, 505",Sant Gervasi - la Bonanova,MEDITERRANEO,Abierto,Si,5.7,0.0,0,15,2.13724,41.40324
10,65 Degrees Barcelona,"C. DAVANT DEL PORTAL NOU, 3","Sant Pere, Santa Caterina i la Ribera",FUSION,Abierto,Si,9.0,9.1,62,20,2.18063,41.38981
11,7 Portes,"PG. ISABEL II, 14","Sant Pere, Santa Caterina i la Ribera",CATALAN,Abierto,Si,21.25,8.8,4025,50,2.18338,41.38218
12,9 Reinas - Barcelona,"C. VALENCIA, 267",la Dreta de l'Eixample,ARGENTINO,Abierto,No,None,9.4,1964,44,2.1649,41.39405
13,9 Reinas - Gourmet,"C. GANDUXER, 28",Sant Gervasi - Galvany,ARGENTINO,Abierto,Si,2.4,9.5,425,27,2.13849,41.39363
14,9NINE,"C. VALENCIA, 334",la Dreta de l'Eixample,MEDITERRANEO,Abierto,No,None,0.0,0,25,2.16843,41.39642
15,A Casa da Fonte,"C. SUGRANYES, 17",Sants - Badal,MEDITERRANEO,None,No,None,0.0,0,18,2.12792,41.37478
16,A Cañota,"C. INDUSTRIA, 314",el Camp de l'Arpa del Clot,GALLEGO,Abierto,Si,27.0,0.0,0,76,2.18202,41.41531
17,A Gaudir,"C. ARAGO, 111",la Nova Esquerra de l'Eixample,CATALAN,None,Si,8.1,8.4,351,30,2.1521,41.3827
18,A Mi Manera Restaurant,"C. PARLAMENT, 15",Sant Antoni,MEDITERRANEO,Abierto,Si,4.5,9.8,4,20,2.1617,41.37595
19,A Pluma - Gran de Gràcia,"C. GRAN DE GRACIA, 7",la Vila de Gràcia,MEDITERRANEO,Abierto,Si,18.0,9.6,47,25,2.15727,41.39785
20,A Pluma - Rec Comtal,"C. REC COMTAL, 7","Sant Pere, Santa Caterina i la Ribera",MEDITERRANEO,Abierto,Si,1.2,0.0,0,25,2.17963,41.38948
21,A Pluma - Santaló,"C. SANTALO, 39",Sant Gervasi - Galvany,MEDITERRANEO,Abierto,Si,4.8,0.0,0,25,2.14534,41.39592
22,A Toda Leña,"C. CONSELL DE CENT, 487",el Fort Pienc,ARGENTINO,Abierto,Si,2.25,0.0,0,20,2.17708,41.39979
23,A33 Pizzeria,"C. MANSO, 22",Sant Antoni,Sin información,Cerrado,Si,3.45,8.8,68,20,2.16018,41.37622
24,ABaC by Jordi Cruz,"AV. TIBIDABO, 1",Sant Gervasi - la Bonanova,MEDITERRANEO,Cerrado,No,None,0.0,0,135,2.13661,41.41058
25,AKELARRE,"C. DEU I MATA, 104",les Corts,Sin información,None,Si,9.0,8.2,3,12,2.1374,41.38926
26,Abanik Bar,"C. CALABRIA, 209",la Nova Esquerra de l'Eixample,MEDITERRANEO,Cerrado,Si,8.55,9.5,305,15,2.14751,41.38522
27,Abirradero,"C. VILA I VILA, 77",el Poble Sec,MEDITERRANEO,None,Si,40.5,8.9,443,20,2.16858,41.3742
28,Abrassame,"G.V.. CORTS CATALANES, 373",la Nova Esquerra de l'Eixample,MEDITERRANEO,Abierto,Si,42.75,0.0,0,30,2.14997,41.37603
29,Accés,"C. ARIBAU, 55",l'Antiga Esquerra de l'Eixample,MEDITERRANEO,None,No,None,9.7,873,40,2.15913,41.38844
30,Aché pa ti,"C. CASTILLEJOS, 208",la Sagrada Família,CUBANO,None,Si,3.45,0.0,0,14,2.18196,41.40385
31,Adil tandoori restaurante,"C. EST, 9",el Raval,INDIO,None,Si,9.0,9.1,37,15,2.17342,41.37751
32,Agust,"C. PARLAMENT, 54",Sant Antoni,ESPAÑOL,None,Si,2.25,8.7,2155,45,2.16391,41.37734
33,Agut,"C. GIGNAS, 16",el Barri Gòtic,CATALAN,Cerrado,No,None,9.2,720,11,2.17993,41.38096
34,Ají,"C. MARINA, 19",la Barceloneta,JAPONES,Cerrado,Si,32.0,9.4,1118,35,2.19657,41.38711
35,Akashi Gallery,"C. ROSSELLO, 197",l'Antiga Esquerra de l'Eixample,JAPONES,None,Si,2.25,9.1,302,25,2.15577,41.39225
36,Al Bistró Gastronomico,"C. ANTONI DE CAPMANY, 72",Sants,MEDITERRANEO,Abierto,Si,11.25,7.0,37,20,2.13485,41.37436
37,Al Jaima Els Encants,"C. BOLIVIA, 1",el Parc i la Llacuna del Poblenou,MARROQUI,Abierto,Si,9.0,0.0,0,8,2.18818,41.40097
38,Al Jaima de Abou Khalil,"C. VALENCIA, 218",l'Antiga Esquerra de l'Eixample,LIBANES,Abierto,Si,7.22,9.6,279,20,2.15931,41.38956
