id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_attribute_type,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y
75990351763,Bar Restaurant Casa Marcelino El Rincón del Vino,,,1996-09-18T00:00:00+02:00,2021-03-03T22:14:44.470654+01:00,,,100800,C Diputació,350,,07,la Dreta de Eixample,02,Eixample,08013,True,,151166,20001,Telèfons,Tel.,char,932329806,True,,60731068,Restaurants,Planol BCN >> Restaurants >> Restaurants >> Restaurants,651,0065103007000000,431103.2274271209,4583142.37866808,41.39686795737206,2.175830732983323
75990341606,Bar Restaurant Antiga Casa Rafael,,,1996-09-18T00:00:00+02:00,2021-03-03T22:15:55.140361+01:00,,,206505,C Major de Sarrià,77,,23,Sarrià,05,Sarrià-Sant Gervasi,08017,True,,149652,20001,Telèfons,Tel.,char,932031020,True,,60731068,Restaurants,Planol BCN >> Restaurants >> Restaurants >> Restaurants,651,0065103007000000,426622.19791365846,4583402.792185243,41.39881698020368,2.1222012552297636
75990341653,Bar Restaurant Marcelino *Trav Corts,,,1996-09-18T00:00:00+02:00,2021-03-03T22:14:35.658370+01:00,,,343903,Trav Corts,293,,19,les Corts,04,Les Corts,08014,True,,149653,20001,Telèfons,Tel.,char,933221367,True,,60731068,Restaurants,Planol BCN >> Restaurants >> Restaurants >> Restaurants,651,0065103007000000,427672.9099915155,4582067.519438504,41.38688591885807,2.134928716981666
75990341670,Restaurant Telepizza *Urquinaona,,,1996-09-18T00:00:00+02:00,2021-03-03T22:15:55.143151+01:00,,,232902,Pl Urquinaona,10,,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,08010,True,,149654,20001,Telèfons,Tel.,char,933019779,True,,60731068,Restaurants,Planol BCN >> Restaurants >> Restaurants >> Restaurants,651,0065103007000000,430882.00176208024,4582240.58942099,41.38872684298499,2.173287528479757
75990606619,Restaurant Rita Blue,,,1999-09-18T00:00:00+02:00,2021-03-03T22:15:03.328547+01:00,,,295902,Pl Sant Agustí,3,,01,el Raval,01,Ciutat Vella,08001,True,,156038,20001,Telèfons,Tel.,char,93 342 4086,True,,60731068,Restaurants,Planol BCN >> Restaurants >> Restaurants >> Restaurants,651,0065103007000000,430733.04039684637,4581332.975247846,41.38053942791152,2.171609759049618
99400455304,Xiringuito La Deliciosa Beach Bar,,,2016-07-15T13:30:12+02:00,2021-03-03T22:14:53.731538+01:00,,,197903,Pg Marítim de la Barceloneta,10,,03,la Barceloneta,01,Ciutat Vella,08003,True,,229054,20001,Telèfons,Tel.,char,933091291,True,,60731068,Restaurants,Planol BCN >> Restaurants >> Restaurants >> Restaurants,651,0065103007000000,432342.372830351,4580931.997487672,41.377064860385815,2.1908992853327582
99400455424,Restaurant Ferran,,,2016-07-18T14:18:40+02:00,2021-03-03T22:14:11.576967+01:00,,,122904,C Ferran,24,,02,el Barri Gòtic,01,Ciutat Vella,08002,True,,228903,20001,Telèfons,Tel.,char,935005585,True,,60731068,Restaurants,Planol BCN >> Restaurants >> Restaurants >> Restaurants,651,0065103007000000,431049.93130053685,4581407.465585588,41.38123755893882,2.1753907264881205
99400406369,Restaurant La Burguesa Garden,,,2015-11-17T08:58:10+01:00,2021-03-03T22:14:31.778507+01:00,,,101904,C Doctor Fleming,23,,24,les Tres Torres,05,Sarrià-Sant Gervasi,08017,True,,227976,20001,Telèfons,Tel.,char,932006327,True,,60731068,Restaurants,Planol BCN >> Restaurants >> Restaurants >> Restaurants,651,0065103007000000,427639.6921301044,4582924.545069658,41.39460181511487,2.1344290716091128
75990401644,Restaurant Vega Raw Organic,,,1996-09-18T00:00:00+02:00,2021-03-03T22:15:55.933464+01:00,,,256605,C Pintor Fortuny,24,,01,el Raval,01,Ciutat Vella,08001,True,,152888,20001,Telèfons,Tel.,char,933023567,True,,60731068,Restaurants,Planol BCN >> Restaurants >> Restaurants >> Restaurants,651,0065103007000000,430538.6832363948,4581575.775838255,41.38270950244798,2.1692577694618587
75990423595,Restaurant Salero,,,1997-02-08T00:00:00+01:00,2021-03-03T22:14:47.184282+01:00,,,276908,C Rec,60,,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,08003,True,,153151,20001,Telèfons,Tel.,char,933198022,True,,60731068,Restaurants,Planol BCN >> Restaurants >> Restaurants >> Restaurants,651,0065103007000000,431775.86417515104,4581740.258484937,41.38429681545289,2.1840342114287927
75990413940,Bar Restaurant La Colla,,,1996-11-25T00:00:00+01:00,2021-03-03T22:15:59.848940+01:00,,,026208,C Art,8,,35,el Guinardó,07,Horta-Guinardó,08041,True,,152734,20001,Telèfons,Tel.,char,632940155,True,,60731068,Restaurants,Planol BCN >> Restaurants >> Restaurants >> Restaurants,651,0065103007000000,431366.0753156717,4585875.329073081,41.42150521662188,2.1786647384402507
99400453545,Taverna Japonesa Izakaya,,,2016-06-20T10:31:06+02:00,2021-03-03T22:15:00.429316+01:00,,,282401,C Riera de Sant Miquel,69,,31,la Vila de Gràcia,06,Gràcia,08006,True,,228887,20001,Telèfons,Tel.,char,937127211,True,,60731068,Restaurants,Planol BCN >> Restaurants >> Restaurants >> Restaurants,651,0065103007000000,429329.4836194108,4583350.667270295,41.39859001017803,2.1545904160328
75990406306,Restaurant Nervión,,,1996-09-18T00:00:00+02:00,2021-03-03T22:14:50.412061+01:00,,,266904,C Princesa,2,,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,08003,True,,152821,20001,Telèfons,Tel.,char,933152103,True,,55734075,Tablaos flamencs,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Tablaos flamencs,651,0065103002003007,431362.53419480904,4581733.134470803,41.38419749330031,2.17909204620608
75990406306,Restaurant Nervión,,,1996-09-18T00:00:00+02:00,2021-03-03T22:14:50.412061+01:00,,,266904,C Princesa,2,,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,08003,True,,152821,20001,Telèfons,Tel.,char,933152103,True,,60731068,Restaurants,Planol BCN >> Restaurants >> Restaurants >> Restaurants,651,0065103007000000,431362.53419480904,4581733.134470803,41.38419749330031,2.17909204620608
99400453809,Taberna Tio Carlos,,,2016-06-22T10:34:08+02:00,2021-03-03T22:14:12.069070+01:00,,,153806,Ptge Gutenberg,7,,01,el Raval,01,Ciutat Vella,08001,True,,228452,20001,Telèfons,Tel.,char,936673584,True,,55734068,Bars i pubs musicals,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Bars i pubs musicals,651,0065103002003000,430988.54599531216,4580929.957233919,41.37693151786698,2.1747110351465655
99400453809,Taberna Tio Carlos,,,2016-06-22T10:34:08+02:00,2021-03-03T22:14:12.069070+01:00,,,153806,Ptge Gutenberg,7,,01,el Raval,01,Ciutat Vella,08001,True,,228452,20001,Telèfons,Tel.,char,936673584,True,,60731068,Restaurants,Planol BCN >> Restaurants >> Restaurants >> Restaurants,651,0065103007000000,430988.54599531216,4580929.957233919,41.37693151786698,2.1747110351465655
75990629274,Bar Restaurant Bilbao Berria,,,2000-04-22T00:00:00+02:00,2021-03-03T22:15:23.582648+01:00,,,230907,Pl Nova,3,,02,el Barri Gòtic,01,Ciutat Vella,08002,True,,157086,20001,Telèfons,Tel.,char,933170124,True,,60731068,Restaurants,Planol BCN >> Restaurants >> Restaurants >> Restaurants,651,0065103007000000,431014.9825725234,4581738.133351281,41.3842127894176,2.174935152554135
