nombre,cocina,direccion,rating,num_opiniones,precio
Vi i Tòfona,MEDITERRÁNEO,"Avinguda de la Riera de Cassoles, 56, 08012, Barcelona",9.3,3008,15
Hofmann,MEDITERRÁNEO,"Carrer de la Granada del Penedès, 14, 08006, Barcelona",9.6,450,70
TunaTeca Balfegó,AUTOR,"Avinguda Diagonal, 439, 08036, Barcelona",9.7,542,75
Vi Negre,MEDITERRÁNEO,"Carrer de les Guilleries, 17, 08012, Barcelona",9.1,5445,30
Can Pineda,CATALÁN,"Carrer de Sant Joan de Malta, 55, 08018, Barcelona",9.5,425,50
Osmosis,MEDITERRÁNEO,"Carrer d'Aribau, 100, 08036, Barcelona",9.3,2255,55
Boraz,MEDITERRÁNEO,"Carrer de Muntaner, 124, 08036, Barcelona",9.7,99,34
Picasso,MEDITERRÁNEO,"Carrer de Mallorca, 422, 08013, Barcelona",9.0,33,22
Musiú,ITALIANO,"Carrer de Pau Claris, 112, 08009, Barcelona",9.4,1024,12
Fonda España by Martín Berasategui - Hotel España,CATALÁN,"C/ de Sant Pau, 9, 08001, Barcelona",9.6,2012,49
Shanti,INDIO,"C/ Agustina Saragossa, 3-5, 08017, Barcelona",9.6,2171,17
Manairó,MEDITERRÁNEO,"C/ Diputació, 424, 08013, Barcelona",9.3,1156,60
Tram Tram,CATALÁN,"C/ Major de Sarrià, 121, 08017, Barcelona",9.3,307,60
Don Asador,ARGENTINO,"Carrer del Comte d'Urgell, 111, 08011, Barcelona",9.3,314,20
Papadam Indian Authentic,INDIO,"Ronda de Sant Pau, 11, 08015, Barcelona",9.5,1570,20
Out of India,INDIO,"Carrer de Mallorca , enfrente Expo hotel , cerca de Sants estación., 08014, Barcelona",9.5,1140,25
jhon&davis,AMERICANO,"Carrer de Buenaventura Muñoz, 12, 08018, Barcelona",8.9,121,15
Windsor,CATALÁN,"Carrer de Còrsega, 286, 08008, Barcelona",9.2,1117,44
Meraviglioso,ITALIANO,"C/ Valencia, 28, 08015, Barcelona",9.6,328,22
Equilibri Bcn,MEDITERRÁNEO,"Carrer de Sardenya, 404, 08025, Barcelona",9.4,331,47
Nectari by Jordi Esteve,MEDITERRÁNEO,"C/ Valencia, 28, 08015, Barcelona",9.4,685,70
Tasty Q,MEDITERRÁNEO,"Carrer d'Aribau, 131, 08036, Barcelona",8.8,180,25
Mi Burrito y Yo,YUMS,"Carrer del Pas de l'Ensenyança, 2, 08002, Barcelona",8.8,160,25
Taverna Hofmann,MEDITERRÁNEO,"Carrer de Girona, 145, 08037, Barcelona",9.1,1127,30
Le Romane,Welcome,"Carrer de Muntaner, 103, 08036, Barcelona",9.5,1010,20
Caelis,MEDITERRÁNEO,"Via Laietana, 49 (Hotel Ohla Barcelona), 08003, Barcelona",9.5,1018,75
El Calafate,ARGENTINO,"C/ París, 145, 08036, Barcelona",9.3,2375,32
